Motion Sensor Data File Sep 21, 2018 12:30 PM
Time (s)	Distance (cm)	Dist Error (cm)
7.050	27.056	0.239
7.060	26.925	0.239
7.070	26.773	0.239
7.080	26.577	0.239
7.090	26.369	0.239
7.100	26.122	0.239
7.110	25.867	0.239
7.120	25.573	0.239
7.130	25.274	0.239
7.140	24.946	0.239
7.150	24.617	0.239
7.160	24.262	0.239
7.170	23.908	0.239
7.180	23.536	0.239
7.190	23.177	0.239
7.200	22.806	0.239
7.210	22.434	0.239
7.220	22.080	0.239
7.230	21.730	0.239
7.240	21.397	0.239
7.250	21.068	0.239
7.260	20.774	0.239
7.270	20.484	0.239
7.280	20.228	0.239
7.290	19.990	0.239
7.300	19.786	0.239
7.310	19.595	0.239
7.320	19.443	0.239
7.330	19.304	0.239
7.340	19.220	0.239
7.350	19.153	0.239
7.360	19.143	0.239
7.370	19.150	0.239
7.380	19.200	0.239
7.390	19.279	0.239
7.400	19.402	0.239
7.410	19.538	0.239
7.420	19.721	0.239
7.430	19.921	0.239
7.440	20.143	0.239
7.450	20.404	0.239
7.460	20.677	0.239
7.470	20.980	0.239
7.480	21.292	0.239
7.490	21.630	0.239
7.500	21.972	0.239
7.510	22.335	0.239
7.520	22.691	0.239
7.530	23.063	0.239
7.540	23.422	0.239
7.550	23.799	0.239
7.560	24.158	0.239
7.570	24.513	0.239
7.580	24.851	0.239
7.590	25.184	0.239
7.600	25.487	0.239
7.610	25.791	0.239
7.620	26.052	0.239
7.630	26.307	0.239
7.640	26.525	0.239
7.650	26.730	0.239
7.660	26.882	0.239
7.670	27.018	0.239
7.680	27.124	0.239
7.690	27.195	0.239
7.700	27.232	0.239
7.710	27.234	0.239
7.720	27.211	0.239
7.730	27.145	0.239
7.740	27.048	0.239
7.750	26.917	0.239
7.760	26.765	0.239
7.770	26.570	0.239
7.780	26.361	0.239
7.790	26.114	0.239
7.800	25.859	0.239
7.810	25.560	0.239
7.820	25.257	0.239
7.830	24.929	0.239
7.840	24.600	0.239
7.850	24.246	0.239
7.860	23.896	0.239
7.870	23.524	0.239
7.880	23.152	0.239
7.890	22.794	0.239
7.900	22.427	0.239
7.910	22.081	0.239
7.920	21.726	0.239
7.930	21.398	0.239
7.940	21.069	0.239
7.950	20.779	0.239
7.960	20.489	0.239
7.970	20.238	0.239
7.980	19.991	0.239
7.990	19.791	0.239
8.000	19.609	0.239
8.010	19.465	0.239
8.020	19.338	0.239
8.030	19.251	0.239
8.040	19.193	0.239
8.050	19.170	0.239
8.060	19.176	0.239
8.070	19.230	0.239
8.080	19.306	0.239
8.090	19.429	0.239
8.100	19.565	0.239
8.110	19.739	0.239
8.120	19.948	0.239
8.130	20.174	0.239
8.140	20.430	0.239
8.150	20.703	0.239
8.160	21.006	0.239
